run,micro_mean,micro_mean_error,wind_mean,wind_mean_error,velocity,micro_amp_to_wind_amp,micro_amp_to_wind_amp_error
108,65.853943,0.027241625,401.13467,0.038116224,335.28073,0,0
109,66.006714,0.025247032,401.33823,0.05272761,335.33151,0,0
110,66.064934,0.025830168,401.46201,0.047782607,335.39706,0,0
112,66.049202,0.026233638,401.51093,0.046320315,335.46173,0,0
113,66.012192,0.025239693,401.42603,0.063334599,335.41382,0,0
114,65.991028,0.026127145,401.34937,0.061483379,335.35834,0,0
115,66.04142,0.024930412,401.39371,0.05451661,335.35229,0,0
116,66.056198,0.026921175,401.36151,0.053446494,335.3053,0,0
117,65.972488,0.027769035,401.29544,0.059205584,335.32294,0,0
118,66.084373,0.026613928,401.31073,0.056065321,335.22635,0,0
119,66.070099,0.027569877,401.26746,0.090092778,335.19736,0,0
120,66.145615,0.028327031,401.22614,0.0945898,335.08051,0,0
121,65.968323,0.027944235,400.92886,0.1115943,334.96054,0,0
122,66.005013,0.02760444,401.0098,0.08336132,335.00479,0,0
123,66.021492,0.026652029,401.19312,0.083344974,335.17163,0,0
124,66.081902,0.027266124,401.03604,0.096440397,334.95413,0,0
125,66.108612,0.027027687,401.11627,0.076847583,335.00766,0,0
126,65.94677,0.028885402,400.82339,0.097087361,334.87662,0,0
167,65.713097,0.029467922,328.59677,697.91992,262.88367,0,0
168,65.98513,0.030622527,336.32788,486.65417,270.34274,0,0
